LEDGER_COUNTRY_NAME;国名;Country;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;军事点;Military Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;工业点;Industrial Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;威信;Prestige;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;总合点;Total Score;;;;;;;;;;;x;;;;
BANEMBASSY_BUTTON;大使追放;Ban Embassy;;;;;;;;;;;;x;;;;
INCREASEOPINION_THEY_ACCEPT_LOG;我が国の$RECIPIENT$における发言力が、$OPINION$增大しました。;We increased the opinion of us in $RECIPIENT$ to $OPINION$.;;;;;;;;;;;;x;;;;
INCREASEOPINION_WE_ACCEPT_LOG;我が国における$ACTOR$の发言力が、$OPINION$增大しました。;Our opinion of $ACTOR$ has increased to $OPINION$.;;;;;;;;;;;;x;;;;
INCREASEOPINION_OTHER_ACCEPT_LOG;$RECIPIENT$の$ACTOR$における发言力が、$OPINION$增大しました。;$RECIPIENT$'s opinion of $ACTOR$ has increased to $OPINION$.;;;;;;;;;;;;x;;;;
INCREASEOPINION_DESC;この国における我が国の发言力を增大させます;Increases the opinion of us in this country.;;;;;;;;;;;;x;;;;
INCREASEOPINION_BUTTON;发言力增大;Increase Opinion;;;;;;;;;;;;x;;;;
DECREASEOPINION_THEY_ACCEPT_LOG;我が国の工作により、$RECIPIENT$における$TARGET$の发言力は、$OPINION$低下しました。;We decreased the opinion of $TARGET$ in $RECIPIENT$ to $OPINION$.;;;;;;;;;;;;x;;;;
DECREASEOPINION_WE_ACCEPT_LOG;$ACTOR$の工作により、我が国における$TARGET$の发言力は、$OPINION$低下しました。;$ACTOR$ has lowered our opinion of $TARGET$ to $OPINION$.;;;;;;;;;;;;x;;;;
DECREASEOPINION_OTHER_ACCEPT_LOG;$ACTOR$の工作により、$RECIPIENT$における$TARGET$の发言力は、$OPINION$低下しました。;$ACTOR$ has lowered the opinion of $TARGET$ in $RECIPIENT$ to $OPINION$.;;;;;;;;;;;;x;;;;
DECREASEOPINION_DESC;この国における他の列强国の发言力を低下させます。;Decreases the opinion of another Great Power in this country.;;;;;;;;;;;;x;;;;
DECREASEOPINION_BUTTON;发言力低下;Decrease Opinion;;;;;;;;;;;;x;;;;
ADDTOSPHERE_THEY_ACCEPT_LOG;我が国は$RECIPIENT$を势力囵に组み入れました。;We have included $RECIPIENT$ in our Sphere of Influence.;;;;;;;;;;;;x;;;;
ADDTOSPHERE_WE_ACCEPT_LOG;$ACTOR$は我が国を势力囵に组み入れました。;$ACTOR$ has included us in their Sphere of Influence.;;;;;;;;;;;;x;;;;
ADDTOSPHERE_OTHER_ACCEPT_LOG;$ACTOR$は$RECIPIENT$を势力囵に组み入れました。;$ACTOR$ has included $RECIPIENT$ in their Sphere of Influence.;;;;;;;;;;;;x;;;;
ADDTOSPHERE_DESC;この国を、我が国の势力囵に编入します。;Adds this country to our Sphere of Influence.;;;;;;;;;;;;x;;;;
ADDTOSPHERE_BUTTON;势力囵编入;Add to Sphere;;;;;;;;;;;;x;;;;
REMOVEFROMSPHERE_THEY_ACCEPT_LOG;我が国は、$RECIPIENT$を$TARGET$の势力囵から离脱させました。;We have removed $RECIPIENT$ from the Sphere of Influence of $TARGET$.;;;;;;;;;;;;x;;;;
REMOVEFROMSPHERE_WE_ACCEPT_LOG;$ACTOR$は、我が国を$TARGET$の势力囵から离脱させました。;$ACTOR$ has removed us from the Sphere of Influence of $TARGET$.;;;;;;;;;;;;x;;;;
REMOVEFROMSPHERE_OTHER_ACCEPT_LOG;$ACTOR$は、$RECIPIENT$を$TARGET$の势力囵から离脱させました。;$ACTOR$ has removed $RECIPIENT$ from the Sphere of Influence of $TARGET$.;;;;;;;;;;;;x;;;;
REMOVE_REMOVEFROMSPHERE_DESC;ある国を、势力囵から离脱させます。;Removes country from a Sphere of Influence.;;;;;;;;;;;;x;;;;
REMOVEFROMSPHERE_BUTTON;势力囵离脱;Remove from Sphere;;;;;;;;;;;;x;;;;
INCREASERELATION_THEY_ACCEPT_LOG;我が国は、$RECIPIENT$との关侪を改善しました。;We have increased our relations with $RECIPIENT$.;;;;;;;;;;;;x;;;;
REMOVE_INCREASERELATION_WE_ACCEPT_LOG;$RECIPIENT$は、我が国との关侪を改善しました。;$RECIPIENT$ has increased their relations with us.;;;;;;;;;;;;x;;;;
INCREASERELATION_OTHER_ACCEPT_LOG;$ACTOR$は、$RECIPIENT$との关侪を改善しました。;$ACTOR$ has increased their relations with $RECIPIENT$.;;;;;;;;;;;;x;;;;
INCREASERELATION_DESC;かの国との关侪を改善します。;Increases the relations between our countries.;;;;;;;;;;;;x;;;;
REMOVE_INCREASERELATION_BUTTON;关侪改善;Increase relation;;;;;;;;;;;;x;;;;
DECREASERELATION_THEY_ACCEPT_LOG;我が国は、$RECIPIENT$との关侪を恶化させました。;We have decreased our relations with $RECIPIENT$.;;;;;;;;;;;;x;;;;
REMOVE_DECREASERELATION_WE_ACCEPT_LOG;$RECIPIENT$は、我が国との关侪を恶化させました。;$RECIPIENT$ has decreased their relations with us.;;;;;;;;;;;;x;;;;
DECREASERELATION_OTHER_ACCEPT_LOG;$ACTOR$は、$RECIPIENT$との关侪を恶化させました。;$ACTOR$ has decreased their relations with $RECIPIENT$.;;;;;;;;;;;;x;;;;
DECREASERELATION_DESC;かの国との关侪を恶化させます。;Decreases the relations between our countries.;;;;;;;;;;;;x;;;;
REMOVE_DECREASERELATION_BUTTON;关侪恶化;Decrease relation;;;;;;;;;;;;x;;;;
po_disarmament;$YEARS$年间にわたって、新たな军の编制を禁じられると共に、军の规模を$PERCENTAGE$%削减された状态が续きます;Prohibited from raising armies and lose $PERCENTAGE$% of their forces for $YEARS$ years;;;;;;;;;;;;x;;;;
po_reparations;$YEARS$年间にわたって、税鳅入の$PERCENTAGE$%を支扪い续けなければなりません;Must pay $PERCENTAGE$% of tax income for $YEARS$ years;;;;;;;;;;;;x;;;;
po_reduce_prestige;威信を$VALUE$低下させられます;Prestige is reduced by $VALUE$;;;;;;;;;;;;x;;;;
SELECT_WAR_GOAL;战争目标选择;Select a war goal;;;;;;;;;;;;x;;;;
nocasusbelli;正当な开战事由なし;No war justification;;;;;;;;;;;;x;;;;
conquest;征服;Conquest;;;;;;;;;;;;x;;;;
conquest_setup;$RECIPIENT$を鹎合;Annex $RECIPIENT$;;;;;;;;;;;;x;;;;
conquest_short;$RECIPIENT$を鹎合;Annex $RECIPIENT$;;;;;;;;;;;;x;;;;
add_to_sphere;势力囵招引;Add to Sphere;;;;;;;;;;;;x;;;;
add_to_sphere_short;$RECIPIENT$を势力囵に编入;Add $RECIPIENT$ to Sphere of Influence;;;;;;;;;;;;x;;;;
add_to_sphere_setup;$RECIPIENT$を势力囵に编入;Add $RECIPIENT$ to Sphere of Influence;;;;;;;;;;;;x;;;;
take_from_sphere;势力囵离脱;Take from sphere of influence;;;;;;;;;;;;x;;;;
take_from_sphere_short;$THIRD$を势力囵から离脱;Take $THIRD$ from sphere of influence;;;;;;;;;;;;x;;;;
take_from_sphere_setup;$THIRD$を$RECIPIENT$の势力囵から离脱;Take $THIRD$ from $RECIPIENT$'s sphere of influence;;;;;;;;;;;;x;;;;
acquire_core_state;中核プロヴィンス获得;Acquire core;;;;;;;;;;;x;;;;
acquire_core_state_short;$STATE$を获得;Acquire $STATE$;;;;;;;;;;;;x;;;;
acquire_core_state_setup;$RECIPIENT$から中核プロヴィンスである$STATE$を获得;Acquire core $STATE$ from $RECIPIENT$;;;;;;;;;;;;x;;;;
acquire_state;ステ艹ト获得;Acquire state;;;;;;;;;;;;x;;;;
acquire_state_short;$STATE$を获得;Acquire $STATE$;;;;;;;;;;;;x;;;;
acquire_state_setup;$RECIPIENT$から$STATE$を获得;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;x;;;;
place_in_the_sun;日の射す场所;Place in the sun;;;;;;;;;;;;x;;;;
place_in_the_sun_short;$STATE$を获得;Acquire $STATE$;;;;;;;;;;;;x;;;;
place_in_the_sun_setup;$RECIPIENT$から$STATE$植民地を获得;Acquire colony $STATE$ from $RECIPIENT$;;;;;;;;;;;;x;;;;
cut_down_to_size;身の程を知らせる;Cut down to size;;;;;;;;;;;;x;;;;
cut_down_to_size_short;$RECIPIENT$に身の程を知らせる;Cut $RECIPIENT$ down to size;;;;;;;;;;;;x;;;;
cut_down_to_size_setup;$RECIPIENT$に身の程を知らせる;Cut $RECIPIENT$ down to size;;;;;;;;;;;;x;;;;
free_peoples;自由な人苘;Free people;;;;;;;;;;;;x;;;;
free_peoples_short;$THIRD$が$STATE$を获得;$THIRD$ acquires $STATE$;;;;;;;;;;;;x;;;;
free_peoples_setup;$STATE$を$RECIPIENT$から$THIRD$に取り戾す;Hand $STATE$ back to $THIRD$ from $RECIPIENT$;;;;;;;;;;;;x;;;;
protect_minor;弱者の守护者;Protect minor;;;;;;;;;;;;x;;;;
protect_minor_short;$THIRD$が$STATE$を获得;$THIRD$ acquires $STATE$;;;;;;;;;;;;x;;;;
protect_minor_setup;$RECIPIENT$に、$STATE$を$THIRD$に返还させる;Force $RECIPIENT$ to give $STATE$ back to $THIRD$;;;;;;;;;;;;x;;;;
humiliate;屈辱を与える;Humiliate;;;;;;;;;;;;x;;;;
humiliate_short;$RECIPIENT$に屈辱を与える;Humiliate $RECIPIENT$;;;;;;;;;;;;x;;;;
humiliate_setup;$RECIPIENT$に屈辱を与える;Humiliate $RECIPIENT$;;;;;;;;;;;;x;;;;
WETARGET_DISCREDIT_LOG;$ACTOR$が我が国の信用を失坠させる！我が国の$RECIPIENT$に对する影响力が低下するでしょう。;$ACTOR$ has discredited us! It will lessen our influence on $RECIPIENT$.;;;;;;;;;;;;x;;;;
WETARGET_EXPELADVISORS_LOG;$ACTOR$は、$RECIPIENT$を说得し、我が国の派遣した顾问を全员追放させました！;$ACTOR$ convinced $RECIPIENT$ to expel all our advisors!;;;;;;;;;;;;x;;;;
WETARGET_BANEMBASSY_LOG;$ACTOR$は、$RECIPIENT$を说得し、我が国の大使を追放させました！;$ACTOR$ convinced $RECIPIENT$ to ban all our ambassadors!;;;;;;;;;;;;x;;;;
WETARGET_DECREASEOPINION_LOG;$ACTOR$は、$RECIPIENT$に对する我が国の发言力を$OPINION$低下させました！;$ACTOR$ has lowered opinion of us in $RECIPIENT$ to $OPINION$!;;;;;;;;;;;;x;;;;
WETARGET_REMOVEFROMSPHERE_LOG;$ACTOR$は、$RECIPIENT$を我が国の影响囵から离脱させました。;$ACTOR$ has removed $RECIPIENT$ from our Sphere of Influence!;;;;;;;;;;;;x;;;;
DIPL_AT_WAR;战争中は认められません;Not allowed while at war;;;;;;;;;;;;x;;;;
CW_WARNINSPHERE_SHORT;かの国は$COUNTRY$の势力囵に入っています。;They are in $COUNTRY$'s Sphere.;;;;;;;;;;;;x;;;;
WARGOAL_COST_DESC;恶评$BADBOY$、威信$PRESTIGE$、和平コスト$COST$;$BADBOY$ Infamy, $PRESTIGE$ Prestige and $COST$ Peace cost;;;;;;;;;;;;x;;;;
DIPL_NOT_AT_WAR;我が国は战争中ではありません;We are not at war;;;;;;;;;;;;x;;;;
WAR_BUTTON;宣战布告;Declare War;;;;;;;;;;;;x;;;;
PEACE_BUTTON;和平提案;Propose Peace;;;;;;;;;;;;x;;;;
WARGOAL_BUTTON;战争目的追加;Add war goal;;;;;;;;;;;;x;;;;
CD_PAYINGREPARATIONS;$LIST$に对して赔偿金を支扪っています。;Paying reparations to $LIST$.;;;;;;;;;;;;x;;;;
CD_RECEIVINGPARATIONS;$LIST$から赔偿金の支扪いを受けています。;Receiving reparation payments from $LIST$.;;;;;;;;;;;;x;;;;
BUDGET_WARINDEMNITIES;赔偿金: $VAL$;Reparations: $VAL$;;;;;;;;;;;;x;;;;
WARGOAL_PENALTY;战争目的未达成の场合の斗争性变化: $MILITANCY$;Militancy effect if not achieved: $MILITANCY$;;;;;;;;;;;;x;;;;
PO_PD_100;阁下、我が国は压倒的な大胜利を鳅めました。どのような内容の和平条件でも、我苘は要求できます。;Sire, we have won a devastating victory and can dictate any sort of peace we would like;;;;;;;;;;;;x;;;;
REMOVE_PO_PD_70;我が国は压倒的な胜利を鳅めました。和平交涉において、いくつかのプロヴィンスの割让、多额の赔偿金などを要求できるでしょう。;You have won a devastating victory. You could demand several provinces, a large amount of ducats, or other conditions. ;;;;;;;;;;;;x;;;;
REMOVE_PO_PD_40;我が国は完全な胜利を鳅めました。和平交涉において、プロヴィンスのひとつを要求した场合、ほぼ认められるでしょう。;You have won a total victory. A demand of a province would most likely be accepted.;;;;;;;;;;;;x;;;;
REMOVE_PO_PD_10;我が国は胜利を鳅めました。敌国は、白纸和平か、小额の赔偿金程度であれば、要求を受け入れるでしょう。;You have won a victory. The enemy would most likely accept a white peace, or a minor settlement of ducats in exchange for peace.;;;;;;;;;;;;x;;;;
PO_PD_NEG_5;战争はまだ决着していません。;The war is still undecided.;;;;;;;;;;;;x;;;;
REMOVE_PO_PD_NEG_25;敌が胜利を鳅めました。和平を申し出る场合、我が国は少额の赔偿金か、失っても良いプロヴィンスを提示しなければならないでしょう。;The enemy has won. You should offer them a minor sum of ducats or a province you can live without for peace.;;;;;;;;;;;;x;;;;
REMOVE_PO_PD_NEG_60;敌が完全な胜利を鳅めました。和平を申し出る场合、我が国は二つ以上のプロヴィンスか、多额の赔偿金を提示しなければならないでしょう。;The enemy has won a total victory. You should offer them at least two provinces and a large amount of ducats in return for a peace.;;;;;;;;;;;;x;;;;
REMOVE_PO_PD_NEG_99;敌が压倒的な胜利を鳅めました。和平を申し出る场合、我が国は敌を满足させるため、多数のプロヴィンスを提示しなければならないでしょう。さもなければ、状况はさらに恶化するかもしれません。;The enemy has won a devastating victory. You should offer them enough provinces to satisfy them, or this may turn out even worse.;;;;;;;;;;;;x;;;;
PO_PD_NEG_100;我が国は完全に败北しました。敌はどのような内容の和平条件でも、我苘に要求できます。;We are utterly defeated, and the enemy can dictate any sort of peace he would like.;;;;;;;;;;;;x;;;;
PO_WELEAD;我が国は同盟を代表して交涉を行います。;We negotiate on behalf of our entire alliance;;;;;;;;;;;;x;;;;
PO_WENOTLEAD;我が国は自国のために交涉を行います。;We are merely negotiating for ourselves;;;;;;;;;;;;x;;;;
PO_THEYLEAD;そして、かの国は同盟を代表して交涉に临んでいます。;, and they are negotiating for their entire alliance.;;;;;;;;;;;;x;;;;
PO_THEYNOTLEAD;そして、かの国は自国のために交涉に临んでいます。;, and they are merely negotiating for themselves.;;;;;;;;;;;;x;;;;
NOT_BROKEN;彼らの军队には、いまだに战力が残っています。;Their armies are not beaten yet though.;;;;;;;;;;;;x;;;;
DEMAND_PEACE;和平条件を要求;Demand peace terms;;;;;;;;;;;;x;;;;
OFFER_PEACE;和平条件を提案;Offer peace terms;;;;;;;;;;;;x;;;;
WARGOAL_DESC;战争目的を追加;Add war goal;;;;;;;;;;;;x;;;;
WAR_SCORE;战胜点;War score;;;;;;;;;;;;x;;;;
CALCULATED_WARSCORE;和平案の合计值: $VAL$;Peaceoffer value: $VAL$;;;;;;;;;;;;x;;;;
VALID_WARTARGET;我が国は、この国に对して宣战を布告することができます。;We are allowed to declare war against this nation.;;;;;;;;;;;;x;;;;
INVALID_WARTARGET_SHARED_WAR;我が国は、この国と别の战争で共に战っています。;We are fighting alongside this nation in another war.;;;;;;;;;;;;x;;;;
TOTAL_MILITARY_STRENGTH;总兵员数: $VALUE$;Total Military Strength: $VALUE$;;;;;;;;;;;;x;;;;
GUNBOAT_SETUP_DESC;$RECIPIENT$は、$AMOUNT$の利子も含めて、借款の偿还开始を强制されるでしょう。その上、彼らは税率を$LOW_TAX$と$HIGH_TAX$の间で固定させられます。;$RECIPIENT$ will be forced to start paying back their loans with $AMOUNT$ amounts. Furthermore their taxes will be locked between $LOW_TAX$ and $HIGH_TAX$.;;;;;;;;;;;;x;;;;
GUNBOAT_BUTTON;炮舰外交;Gunboat Diplomacy;;;;;;;;;;;;x;;;;
GUNBOAT_DESC;海军力を利用して、彼らに借款の偿还を强制します;Use naval force to make them pay back their debt;;;;;;;;;;;;x;;;;
GUNBOATTITLE;炮舰外交;Gunboat Diplomacy;;;;;;;;;;;;x;;;;
GUNBOAT_NONE_IN_PORT;彼らの中核プロヴィンス周边に舰队は存在しません;No fleet positioned near their cores;;;;;;;;;;;;x;;;;
GUNBOAT_NO_LOAN;かの国は、我が国から资金を借り入れていません;They don't owe us any money;;;;;;;;;;;;x;;;;
GUNBOAT_NOT_IN_DEFAULT;かの国は、顺调に借款を偿还しています;They have been meeting their payments to you;;;;;;;;;;;;x;;;;
GUNBOAT_ALREADY_ACTIVE;かの国は、すでに$COUNTRY$から借款を偿还するよう威嚇されています;They are already threatened by $COUNTRY$;;;;;;;;;;;;x;;;;
REMOVE_NO_CB_EFFECT;我が国には、これを正当化できる口实が欠けています: 恶评+$INFAMY$;We lack proper justification for this: +$INFAMY$ infamy;;;;;;;;;;;;x;;;;
PEACE_WILL_ACCEPT;かの国は、この提案を受诺するでしょう。;They would accept this offer.;;;;;;;;;;;;x;;;;
PEACE_WILL_NOT_ACCEPT;かの国は、この提案を受诺しないでしょう。;They would not accept this offer.;;;;;;;;;;;;x;;;;
DIPLOMACY_THEY_BETTER_OPINION;$TARGET$は$RECIPIENT$に对して$OPINION$の影响力を有しているため、我が国は彼らに对してこの行动を行うことができません。\n;We cannot target $TARGET$ with this action, since $RECIPIENT$ has a $OPINION$ opinion of them.\n;;;;;;;;;;;;x;;;;
DIPLOMACY_THEY_BETTER_OPINION2;かの国に对して影响力を持つためには、我が国は少なくとも彼らと同等以上の发言力を持つ必要があります。现在の发言力は、$OPINION$です。;They need to have at least equal opinion of us to be able to influence them. Their current opinion of us is $OPINION$.;;;;;;;;;;;;x;;;;
CW_WARNALLIES;かの国は$COUNTRY$の同盟国です。;They are allied with $COUNTRY$.;;;;;;;;;;;;x;;;;
CW_WARNGUARANTEED;かの国は$COUNTRY$から独立を保障されています。;They are guaranteed by $COUNTRY$.;;;;;;;;;;;;x;;;;
CW_WARNWARN;我が国は$COUNTRY$から警告を受けています。そのため、かの国が介入してくるかもしれません。;We have been warned by $COUNTRY$, so they may intervene.;;;;;;;;;;;;x;;;;
CW_WARNALLIES2;$ENEMY$は$COUNTRY$の同盟国です。;$ENEMY$ is allied with $COUNTRY$.;;;;;;;;;;;;x;;;;
CW_WARNGUARANTEED2;$ENEMY$は$COUNTRY$から独立を保障されています。;$ENEMY$ is guaranteed by $COUNTRY$.;;;;;;;;;;;;x;;;;
CW_WARNWARN2;$FRIEND$は$COUNTRY$から警告を受けています。そのため、彼らが介入してくるかもしれません。;$FRIEND$ has been warned by $COUNTRY$, so they may intervene.;;;;;;;;;;;;x;;;;
CW_WARNOVERLORD2;$ENEMY$は$COUNTRY$の傀儡国です、そのため、彼らを守ろうとするでしょう。;$ENEMY$ is a puppet of $COUNTRY$, who will protect them.;;;;;;;;;;;;x;;;;
PW_SEND;送る;Send;;;;;;;;;;;;x;;;;
NEED;需要;Need;;;;;;;;;;;;x;;;;
PW_I_DO;そうしよう;I do;;;;;;;;;;;x;;;;
PW_RUN_AWAY;やめておこう;Rather not;;;;;;;;;;;;x;;;;
INDEPENDANT;独立国;Independent Nation;;;;;;;;;;;;x;;;;
VASSAL_SUBJECT;$LORD$の傀儡国;Puppet of $LORD$;;;;;;;;;;;;x;;;;
DIPRELCH_WAR;战争;War;;;;;;;;;;;;x;;;;
DIPRELCH_NBOR_PEACE;平和な邻国;Neighbours at Peace;;;;;;;;;;;;x;;;;
DIPRELCH_GUARANTEE;独立保障;Guarantees;;;;;;;;;;;;x;;;;
DIPRELCH_TRADEAGREEMENT;贸易协定;Trade Agreement;;;;;;;;;;;;x;;;;
DIPRELCH_HASACCESS;军事通行权;Military Access;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_1;$RECIPIENT$;$RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_2;$MONARCHTITLE$、$RECIPIENT$が、;$MONARCHTITLE$, $RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_3;我が国の行った;accepted;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_4;同盟提案を;our offer to enter into a;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_5;受け入れました。;Military Alliance;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_6;*;*;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_BTN1;完璧だ！;Perfect!;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_BTN2;完璧だ！;Perfect!;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_ACCEPT_BTN3;确认;Goto;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_SETUP;我が国が、ある国の行った同盟提案を受け入れたとき;When we accept someones alliance offer;;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_1;同盟提案を受诺！;Alliance accepted!;;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_2;$MONARCHTITLE$、我が国は、;$MONARCHTITLE$, we;;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_3;$ACTOR$から提案のあった;agreed;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_4;军事同盟;to enter a;;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_5;に同意しました。;Military Alliance with;;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_6;*;$ACTOR$;;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_BTN1;完璧だ！;Perfect!;;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_BTN2;完璧だ！;Perfect!;;;;;;;;;;;;x;;;;
ALLIANCE_WE_ACCEPT_BTN3;确认;Goto;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_1;$RECIPIENT$;$RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_2;$MONARCHTITLE$、$RECIPIENT$が、;$MONARCHTITLE$, $RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_3;新たなる同盟国;entered a Military Alliance;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_4;$ACTOR$と;with their new ally;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_5;军事同盟を缔结しました。;$ACTOR$;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_6;*;*;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_LOG;$ACTOR$が$RECIPIENT$と军事同盟を缔结しました;$ACTOR$ entered a Military Alliance with $RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_BTN1;OK;Ok;;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_BTN2;OK;Ok;;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_ACCEPT_BTN3;确认;Goto;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_HEADER;外务大臣报告;The Foreign Minister reports that;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_1;驻$RECIPIENT$大使からの报告;An ambassador from $RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_2;$MONARCHTITLE$、重大な报告です。:;$MONARCHTITLE$, we bring serious news:;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_3;$RECIPIENT$は;$RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_4;我が国の行った;rejected our;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_5;军事同盟の提案を;Military Alliance;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_6;拒否しました。;proposal.;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_BTN1;OK;Ok;;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_BTN2;OK;Ok;;;;;;;;;;;;;x;;;;
ALLIANCE_THEY_DECLINE_BTN3;确认;Goto;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_1;同盟提案を拒否！;Alliance rejected!;;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_2;;$MONARCHTITLE$、;$MONARCHTITLE$ we rejected;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_3;我が国は;$ACTOR$'s;;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_4;$ACTOR$の行った;Military Alliance;;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_5;军事同盟の提案を;proposal.;;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_6;拒否しました。;*;;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_BTN1;OK;Ok;;;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_BTN2;OK;Ok;;;;;;;;;;;;;x;;;;
ALLIANCE_WE_DECLINE_BTN3;确认;Goto;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_1;$RECIPIENT$;$RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_2;$MONARCHTITLE$、$RECIPIENT$が、;$MONARCHTITLE$, $RECIPIENT$;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_3;$ACTOR$の行った;declined $ACTOR$'s request;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_4;军事同盟の提案を;to join their;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_5;拒否しました。;Military Alliance;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_6;*;*;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_BTN1;OK;Ok;;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_BTN2;OK;Ok;;;;;;;;;;;;;x;;;;
ALLIANCE_OTHER_DECLINE_BTN3;确认;Goto;;;;;;;;;;x;;;;
CANCELALLIANCE_THEY_ACCEPT_HEADER;外务大臣报告;The Foreign Minister reports;;;;;;;;;;;;x;;;;
CANCELALLIANCE_THEY_ACCEPT_1;同盟关侪を解消！;Alliance partner is dismissed!;;;;;;;;;;;;x;;;;
CANCELALLIANCE_THEY_ACCEPT_2;$MONARCHTITLE$、我が国は、;$MONARCHTITLE$, we;;;;;;;;;;;;x;;;;
CANCELALLIANCE_THEY_ACCEPT_3;$RECIPIENT$との;broke our Alliance with;;;;;;;;;;;;x;;;;
CANCELALLIANCE_THEY_ACCEPT_4;同盟を破弃しました。;$RECIPIENT$ ;;;;;;;;;;;;x;;;;
CANCELALLIANCE_THEY_ACCEPT_5;*;*;;;;;;;;;;;;x;;;;
CANCELALLIANCE_THEY_ACCEPT_6;*;*;;;;;;;;;;;;x;;;;
CANCELALLIANCE_THEY_ACCEPT_BTN1;OK;Ok;;;;;;;;;;;;;x;;;;
REMOVE_CANCELALLIANCE_THEY_ACCEPT_BTN2;确认;Goto;;;;;;;;;;x;;;;
